,level_0,Objet,Model,Attaque,Intensité,Score,Difference absolue,MSE,Coef de corrélation,SSIM
329,1316,gondola,VGG16,PGD,1.0,-1,105.60200095663265,53.11991788903061,0.03604253587998005,0.14813309419026865
330,1320,hammer,MobileNetV2,FGSM,0.001,-1,160.42498405612244,16.51955117984694,0.21416357608327408,0.3647213926840462
331,1324,hammer,MobileNetV2,FGSM,0.003,-1,160.3171237244898,16.535076530612244,0.2141191640684296,0.36475087303783504
332,1328,hammer,MobileNetV2,FGSM,0.006,-1,160.34917091836735,16.52407525510204,0.21429047302287857,0.365212765335448
333,1332,hammer,MobileNetV2,FGSM,0.01,-1,160.3499681122449,16.531668526785715,0.21427190402784366,0.36521168032456836
334,1336,hammer,MobileNetV2,FGSM,0.03,-1,160.90471540178572,16.49416055484694,0.21420527657351773,0.36399018929175764
335,1340,hammer,MobileNetV2,FGSM,0.06,-1,163.68273676658163,15.961515465561224,0.21533141221897004,0.35981869974016856
336,1344,hammer,MobileNetV2,FGSM,0.0,-1,164.94363839285714,15.604053730867347,0.21280385629706766,0.34661373964551234
337,1348,hammer,MobileNetV2,FGSM,0.1,-1,163.80325255102042,15.941924426020408,0.21593457246148842,0.35989245702127975
338,1352,hammer,MobileNetV2,FGSM,0.3,-1,160.09618144132654,16.678531568877553,0.21947094233605974,0.37170471750155104
339,1356,hammer,MobileNetV2,FGSM,0.6,-1,157.18355389030611,17.116410235969386,0.21796517393569184,0.38186334419984164
340,1360,hammer,MobileNetV2,FGSM,1.0,-1,161.8634805484694,16.36423788265306,0.21244512849663957,0.3619065692653793
341,1364,hammer,MobileNetV2,PGD,0.001,-1,145.76124043367346,18.378946109693878,0.32338359263856625,0.4149293235797615
342,1368,hammer,MobileNetV2,PGD,0.003,-1,136.57989875637756,19.067422672193878,0.3256257901709381,0.45323595277082146
343,1372,hammer,MobileNetV2,PGD,0.006,-1,167.21918845663265,13.664660395408163,0.32822627349592215,0.3183683431707171
344,1376,hammer,MobileNetV2,PGD,0.01,-1,174.21265146683675,12.939393335459183,0.21495410856638894,0.24235471941155615
345,1380,hammer,MobileNetV2,PGD,0.03,-1,170.55881297831633,14.922572544642858,0.2056064801850803,0.26335192108120703
346,1384,hammer,MobileNetV2,PGD,0.06,-1,184.24164939413265,11.31186224489796,0.2736892920354337,0.22768877596132842
347,1388,hammer,MobileNetV2,PGD,0.0,-1,181.91535794005102,6.677634725765306,0.6302724258880613,0.5090355433564873
348,1392,hammer,MobileNetV2,PGD,0.1,-1,181.67087850765307,11.781110491071429,0.30735254269951356,0.2599689133674888
349,1396,hammer,MobileNetV2,PGD,0.3,-1,171.01859454719389,13.42904974489796,0.3266524323286332,0.33213361482060144
350,1400,hammer,MobileNetV2,PGD,0.6,-1,163.14510921556123,13.590043048469388,0.3727068360493167,0.4005542529508633
351,1404,hammer,MobileNetV2,PGD,1.0,-1,181.45561623086735,13.80516581632653,0.26540616546716805,0.2798025658654623
352,1408,hammer,ResNet152V2,FGSM,0.001,-1,99.0264668367347,31.894630899234695,0.027386358089690012,0.3209013465511244
353,1412,hammer,ResNet152V2,FGSM,0.003,-1,104.81184231505102,30.679508131377553,0.031965092158998384,0.3174674256369689
354,1416,hammer,ResNet152V2,FGSM,0.006,-1,105.6161112882653,30.285574776785715,0.03312663399717014,0.3173189792712768
355,1420,hammer,ResNet152V2,FGSM,0.01,-1,105.6606146364796,30.167709661989797,0.03296619392552017,0.31538452266110134
356,1424,hammer,ResNet152V2,FGSM,0.03,-1,106.56194196428571,29.80990911989796,0.03482982360657171,0.3156988333952999
357,1428,hammer,ResNet152V2,FGSM,0.06,-1,105.52979512117346,30.334821428571427,0.03597343796824713,0.3162222069005242
358,1432,hammer,ResNet152V2,FGSM,0.0,-1,72.92767458545919,39.292410714285715,-0.0028249217779506425,0.2963733532811306
359,1436,hammer,ResNet152V2,FGSM,0.1,-1,106.36804448341837,30.182138871173468,0.03200239364194128,0.31495656061896693
360,1440,hammer,ResNet152V2,FGSM,0.3,-1,107.91043526785714,29.770667251275512,0.037059760369571024,0.3139867190013958
361,1444,hammer,ResNet152V2,FGSM,0.6,-1,109.74824617346938,29.551957110969386,0.036693043383577956,0.31274981883138336
362,1448,hammer,ResNet152V2,FGSM,1.0,-1,111.38596141581633,28.616091358418366,0.0389267191617277,0.30902296361543274
363,1452,hammer,ResNet152V2,PGD,0.001,-1,111.90361926020408,24.480568399234695,0.17478315935012426,0.3566229403631921
364,1456,hammer,ResNet152V2,PGD,0.003,-1,132.7110371492347,19.233199139030614,0.2175711648481972,0.3545000561651257
